LocationId,City,State
1,Saint Augustine,FL
2,Augusta,GA
3,Cleveland,NC
4,Courtland,AL
5,Columbus,MS
6,Morrisville,VT
7,Punta Gorda,FL
8,North Chesterfield,VA
9,Tumwater,WA
10,Quincy,IL
11,Siler City,NC
12,Fort Leonard Wood,MO
13,Loveland,CO
14,Douglas,WY
15,Swainsboro,GA
16,Minneapolis,MN
17,Petersburg,WV
18,Lexington,NE
19,Fredericksburg,TX
20,Abilene,TX
21,Cut Bank,MT
22,Green River,WY
23,Bennington,VT
24,Purchase,NY
25,North Myrtle Beach,SC
26,Jacksonville,FL
27,Auburn,ME
28,Norfolk,VA
29,Independence,IA
30,La Grande,OR
31,Sargents,NH
32,Fort Worth,TX
33,Vernal,UT
34,Corona,CA
35,Hoffman,NC
36,Menomonie city,WI
37,Crossville,TN
38,Palm Coast,FL
39,Wheaton,MN
40,Gig Harbor,WA
41,Fort Sill,OK
42,Great Falls,MT
43,Goldsboro,NC
44,Hickory,NC
45,Faith,SD
46,Thompson Falls-West End,MT
47,Hallock,MN
48,Dallas,TX
49,Gastonia,NC
50,Sault Sainte Marie,MI
51,North Platte,NE
52,Medford,WI
53,Oshkosh,WI
54,Kiln,MS
55,Cortland,NY
56,Rochester,NH
57,Marietta,GA
58,Jamestown,ND
59,Greenville,TX
60,Barre,VT
61,Santa Maria,CA
62,Point Pleasant,WV
63,Frenchville,ME
64,Logansport,IN
65,Grayling,MI
66,Morganton,NC
67,Fort Lauderdale,FL
68,Sutton,WV
69,Austin,TX
70,Windom,MN
71,Minden,LA
72,Boscobel,WI
73,Fort Drum,NY
74,Pleasanton,TX
75,Blytheville,AR
76,Key West,FL
77,Laurens,SC
78,Jacksonville,NC
79,Los Alamitos,CA
80,Worcester,MA
81,Bedminster,NJ
82,Leesburg,FL
83,Juneau,WI
84,Novato,CA
85,Lake Elmo,MN
86,Benton Harbor,MI
87,Decatur,IL
88,Pikeville,NC
89,Waseca,MN
90,Cross City,FL
91,Kansas City,MO
92,Keene,NH
93,Gillette,WY
94,Aberdeen,MS
95,Atlanta,GA
96,Visalia,CA
97,Corvallis,OR
98,Pullman,WA
99,Rogers City,MI
100,Corinth,MS
101,Daggett,CA
102,Farmington,MO
103,Fredericksburg,VA
104,Hobart,OK
105,Springfield,MO
106,Deridder,LA
107,Stillwater,OK
108,Charles City,IA
109,Monroe,NC
110,Maple,NC
111,Sturgeon Lake,MN
112,Concord,NC
113,Waskish,MN
114,Vinton,IA
115,Lawrenceville,IL
116,Nacogdoches,TX
117,Fort Rucker,AL
118,Birmingham,AL
119,Liberty,SC
120,Toccoa,GA
121,Freeland,MI
122,Teterboro,NJ
123,Rutherfordton,NC
124,Grosse Ile,MI
125,Imperial,NE
126,Montgomery,NY
127,Jennings,LA
128,Corning,AR
129,Thomaston,GA
130,Knoxville,IA
131,Orr,MN
132,Pipestone,MN
133,Waukegan,IL
134,District 10,LA
135,Westerly,RI
136,Saint Francisville,IL
137,Barksdale AFB,LA
138,Half Moon Bay,CA
139,Orlando,FL
140,Cadillac,MI
141,Escanaba,MI
142,El Cajon,CA
143,Toledo,WA
144,Warsaw,IN
145,Oak Harbor,WA
146,Cookstown,NJ
147,Burlington,NC
148,Foley,AL
149,Rockport,TX
150,Andrews,TX
151,Big Flats,NY
152,San Antonio,TX
153,Blacksburg,VA
154,Sugar Land,TX
155,Granbury,TX
156,Sparta,IL
157,Leadville,CO
158,Santa Monica,CA
159,Camden,AR
160,Aberdeen Proving Ground,MD
161,Wharton,TX
162,Okmulgee,OK
163,Newport,AR
164,Albert Lea,MN
165,Horsepasture,VA
166,Brookings,OR
167,Blairsville,GA
168,Tony,WI
169,New Braunfels,TX
170,Springfield,IL
171,Bluefield,WV
172,Sparta,TN
173,McKinleyville,CA
174,Asheboro,NC
175,Spring Green,WI
176,Seattle,WA
177,Wiscasset,ME
178,Lamoni,IA
179,Greenville,NC
180,Brumley,MO
181,Calumet,MI
182,Detroit Lakes,MN
183,Gwinn,MI
184,Andrews,NC
185,Mandan,ND
186,Modesto,CA
187,Moss Point,MS
188,West Memphis,AR
189,Hurlburt Field,FL
190,Pontiac,IL
191,Long Beach,CA
192,Henderson,KY
193,Sidney,NE
194,Louisville Airport,KY
195,Starkville,MS
196,Crescent City,CA
197,Beaver Falls,PA
198,Bridgeport,WV
199,Dennison,MN
200,Driggs,ID
201,Fresno,CA
202,Jamaica,NY
203,Marion,IN
204,Tillamook,OR
205,Fort Polk,LA
206,Tampa,FL
207,Jerome,ID
208,District 2,VA
209,Muscatine,IA
210,Hyannis,MA
211,Yukon,OK
212,Racine,WI
213,Madison,SD
214,Beale AFB,CA
215,South Beach,OR
216,Omaha,NE
217,Inverness,FL
218,Hazlehurst,GA
219,Gainesville,FL
220,Hot Springs,VA
221,Pope Army Airfield,NC
222,Ponca City,OK
223,Doylestown,PA
224,Rolla,ND
225,Hattiesburg,MS
226,Fort Payne,AL
227,Farmingdale,NJ
228,South Haven,MI
229,Pittsburgh,PA
230,Longmont,CO
231,Akron,OH
232,McMinnville,OR
233,Patrick AFB,FL
234,Jackson,KY
235,Puyallup,WA
236,Monroe,LA
237,Summerville,SC
238,Two Harbors,MN
239,Caro,MI
240,Halifax,NC
241,Forsyth,MT
242,Orange,MA
243,Howell,MI
244,Andrews Air Force Base,MD
245,Americus,GA
246,Middletown,OH
247,Louisburg,NC
248,West Columbia,SC
249,Wiley Ford,WV
250,Fernandina Beach,FL
251,Bad Axe,MI
252,Burlington,WI
253,Chattanooga,TN
254,San Simeon,CA
255,Carrington,ND
256,Miami,FL
257,Carroll,OH
258,Newport,VT
259,Norton Shores,MI
260,Debord,KY
261,Chehalis,WA
262,Batavia,OH
263,Baker City,OR
264,Sturgeon Bay,WI
265,Eastover,SC
266,Bowie,TX
267,Kalispell,MT
268,Elkins,WV
269,Oak Ridge,TN
270,Madison,AL
271,Johns Island,SC
272,Costa Mesa,CA
273,Eureka,CA
274,Hounsfield,NY
275,McConnell AFB,KS
276,Rome,NY
277,Ludington,MI
278,Grants,NM
279,Deer Creek,IN
280,Saint Joseph,MO
281,Newport News,VA
282,Batesville,AR
283,Eagle River,WI
284,Brenton,WV
285,Poteau,OK
286,McCall,ID
287,Elizabeth City,NC
288,Milan,IL
289,Lemmon,SD
290,Sioux Falls,SD
291,Dyess AFB,TX
292,Georgetown,DE
293,Fryeburg,ME
294,Edenton,NC
295,Reading,PA
296,Rock Springs,WY
297,Maple Lake,MN
298,Little Traverse,MI
299,Clinton,AR
300,North Springfield,VT
301,Cushing,OK
302,Cameron,WI
303,Hilton Head Island,SC
304,Bartow,FL
305,Anderson,SC
306,Belle Chasse,LA
307,Shelton,WA
308,Aurora,OR
309,Davis,NC
310,Moriarty,NM
311,Oxford,AL
312,New Roads,LA
313,Meeker,CO
314,Rock Hill,SC
315,Superior,WI
316,Scappoose,OR
317,Albany,OH
318,Milledgeville,GA
319,Noble,IL
320,Marion,KY
321,Washington,PA
