1,Team 24,-5,0
2,jmsmOo,4,238
3,LYdnIQ,0,316
4,rWcasP,11,578
5,SBSOaR,2,1107
6,DXnIRa,-6,1408
7,bDvepF,1,1306
8,mRAvmd,4,659
9,QOOiIe,10,479
10,Borkxo,6,110
11,mbStqT,8,961
12,uPvyCy,-6,182
13,HqgvLK,6,1521
14,SKnkFc,10,1671
15,ncRKvL,9,976
16,OPAjGm,-3,1477
17,BRqJuC,-9,997
18,yrOhEY,8,822
19,bNOvXK,5,943
20,kZTsoP,4,533
21,ErcbPP,-7,1572
22,httKrZ,12,352
23,splkpQ,0,330
24,bxxScP,-4,1201
25,VFsRnb,8,1533
26,MkHTVc,2,1521
27,SYpdFf,3,1235
28,oiIDfU,0,226
29,BadYWq,10,674
30,yetECA,-3,926
31,rmhfJF,-11,515
32,tpTZbO,-2,696
33,zrVjyd,2,402
34,ZNPKMC,-11,1615
35,BcXYHk,-3,1112
36,kpSFHl,-3,1541
37,moAxmV,-1,336
38,SWFFeH,-2,1748
39,hTCwoP,-4,639
40,SobGJc,11,1459
41,yfUuTH,-11,1622
42,TmzKVO,6,755
43,wFZiME,8,1360
44,kLTVsI,-9,1121
45,OLvYkf,2,1460
46,IEwNxw,2,744
47,IfXGyc,0,823
48,JSJAlA,-8,189
49,ymofwY,-6,372
50,GoxzAt,-2,693
51,HtCnax,6,767
52,ADRBib,-5,914
53,aJBwkO,-2,443
54,YVQJnd,-4,218
55,Sijcpb,4,1323
56,Puradn,-6,1
57,hLMUGb,-9,365
58,wDiirW,5,1282
59,UyUirc,7,1404
60,PpMJrC,5,1398
61,pXFYqz,10,1042
62,QszBZp,6,1637
63,QDDIeB,5,119
64,WAKePk,-2,1318
65,tGSeLK,2,685
66,Jfbyxl,-9,1324
67,QGmaIt,9,519
68,ICIleT,-5,1342
69,ZbANrL,-11,1007
70,YradqP,-7,169
71,MzXdnl,-3,549
72,UZtpOt,-10,478
73,LwhuRu,-9,1561
74,kqrQoI,9,864
75,JSDiWm,6,1581
76,naVvZt,-2,1687
77,UYSRrX,3,701
78,zhNnJR,-3,1128
79,fovhSX,-10,747
80,fHtrPn,7,1426
81,DSyksL,-8,761
82,KsUnOg,6,925
83,KoZDnM,0,894
84,UgzHFf,4,210
85,BgMHRL,7,306
86,eQuTMU,11,1466
87,GxQHYW,-4,1277
88,CkEgdU,4,465
89,zRlobg,9,742
90,rBBlaS,-7,1496
91,hAXVQJ,-8,920
92,GSXCyZ,9,378
93,qyjTMh,-4,346
94,VewtLW,5,1129
95,hFydlG,7,929
96,ROWeFk,9,702
97,CjaARr,11,484
98,zyqQNF,-7,1110
99,TUBLIv,-1,1095
100,AROxuJ,3,291
101,CRGpeh,-4,967
102,jDRdvV,4,1416
103,jUEnld,5,324
104,awMURg,-2,1618
105,RbuDpY,2,1770
106,SaiwOa,9,1415
107,xpeBjv,2,491
108,zNIsxM,9,1057
109,FPcQZS,-4,788
110,lViCbu,2,123
111,CdVpmY,-9,837
112,fdFLZt,-1,619
113,fKMSXH,-1,1007
114,GXmRVX,1,1143
115,lCLYmR,4,1521
116,goEYhh,2,435
117,DxEyjw,4,693
118,qPnycQ,1,1040
119,VIuGCv,-2,1690
120,vabHkl,-5,1043
121,OcRGPQ,-3,1248
122,fTdxlK,0,1426
123,OhlyKX,8,1655
124,WLUIYm,5,1447
125,EJLEhh,3,802
126,ElhEiQ,-6,704
127,VpjCIE,12,406
128,RxThVc,6,29
129,ifzGGU,-9,1371
130,yAHOGi,6,42
131,yXzebp,-8,1623
132,fZUaRV,-1,1359
133,SZRmje,-8,171
134,NTBypU,-11,1705
135,iqdmrP,3,221
136,qtjWpx,-7,1721
137,MvtpiD,-10,715
138,waYXeI,-10,367
139,YOdQNR,2,420
140,iuAIsg,-5,1369
141,klcuxZ,-5,929
142,HkwbAq,9,1508
143,PWKVIR,-1,1600
144,SEZMKs,10,404
145,YdRMbx,2,746
146,uNUMSe,-9,350
147,giggKL,0,1055
148,XNVzij,-7,815
149,sYWZoO,-3,1748
150,nZsCSr,-10,362
151,whryef,2,1302
152,jznCyj,2,1366
153,EANBDm,9,80
154,ehoLhd,-6,1443
155,ReifYr,11,87
156,rnBeYZ,-9,1
157,QrkKew,-6,1757
158,MBKPBy,6,1328
159,cHMvyb,2,323
160,WqdbxJ,11,1670
161,sBWcbw,11,1579
162,yRgLhw,5,538
163,XeHXJN,7,1561
164,zOHsLq,-11,1428
165,LqStxu,7,792
166,AAUmbG,-3,253
167,KUNyTG,11,1751
